"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-01-15","AK","A",229,,1,,1152,1152,77,3,,,1339391,6650,,,1328089,,10,49835,,300,0,,,,,59624,7165,,0,1389226,6950,,,,,,0,1389226,6950
"2021-01-15","AL","A",6030,5038,85,992,38763,38763,2863,313,2476,,1680128,10166,,,,1415,,417528,332085,2945,0,,,,,,221961,,0,2012213,12520,,,95644,,2012213,12520,,0
"2021-01-15","AR","A+",4263,3525,35,738,12598,12598,1314,95,,434,2032273,12628,,,2032273,1340,226,267635,216339,3124,0,,,,60426,,237729,,0,2248612,14768,,,,307478,,0,2248612,14768
"2021-01-15","AS","N/A",0,,0,,,,,0,,,2140,0,,,,,,0,0,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0
"2021-01-15","AZ","A+",11040,9931,185,1109,45665,45665,4866,405,,1138,2552128,12383,,,,,753,658186,621777,9146,0,,,,,,89665,,0,5912271,58182,402939,,,,3173905,20858,5912271,58182
"2021-01-15","CA","B",32291,,637,,,,21856,0,,4833,34589912,276515,,,,,,2859624,2859624,42655,0,,,,,,,,0,37449536,319170,,,,,,0,37449536,319170
"2021-01-15","CO","A",5343,4659,27,684,20627,20627,891,101,,,1925224,6770,273944,,,,,371458,354390,2281,0,37552,,,,,19665,4937103,41266,4937103,41266,314280,,,,2279614,8852,,0
"2021-01-15","CT","B",6594,5355,41,1239,12257,12257,1098,0,,,4657514,28599,,,,,,223422,210193,1878,0,,,,,,9800,,0,4880936,30477,,186893,,,,0,4867707,30303
"2021-01-15","DC","A+",842,,0,,,,285,0,,71,953655,7642,,,,,30,33140,,320,0,,,,,,23131,986795,7962,986795,7962,,,,,376858,1621,,0
"2021-01-15","DE","A+",1002,897,7,105,,,451,0,,56,480266,1932,,,,,,68727,65649,662,0,,,,,70699,18851,1101490,11518,1101490,11518,,,,,548993,2594,,0
